date,cloud_cover,description,feels_like,humidity,max_temp,min_temp,precipitation,sun_hours,temperature,total_snow,wind_chill,wind_dir_deg,wind_gust,wind_speed,public_holiday,business_day,school_holiday,weekend,tube_strike,total_docks,day_week,month,total_journeys
2012-01-04,34,cloudy,2,81,8,3,0.0,2.9,7,0.0,2,249,28,18,0,1,0,0,0,9859,2,1,13936
2012-01-05,17,sunny,3,79,9,6,0.0,2.9,8,0.0,3,284,36,24,0,1,0,0,0,9886,3,1,14191
2012-01-06,8,sunny,3,83,6,2,0.0,2.9,6,0.0,3,283,14,10,0,1,0,0,0,9886,4,1,17713
2012-01-07,21,sunny,4,75,9,5,0.0,2.9,8,0.0,4,298,29,19,0,0,0,1,0,10144,5,1,12556
2012-01-08,30,cloudy,4,84,8,3,0.0,2.9,7,0.0,4,292,17,11,0,0,0,1,0,10144,6,1,10487
2012-01-09,73,cloudy,7,85,10,4,0.0,1.0,10,0.0,7,263,23,15,0,1,0,0,0,10257,0,1,19472
2012-01-10,69,cloudy,7,83,11,6,0.0,1.0,10,0.0,7,266,20,13,0,1,0,0,0,10319,1,1,20548
2012-01-11,39,cloudy,6,81,9,4,0.0,2.9,9,0.0,6,251,17,12,0,1,0,0,0,10476,2,1,20958
2012-01-12,86,cloudy,7,85,10,5,0.0,1.0,10,0.0,7,270,26,17,0,1,0,0,0,10582,3,1,20879
2012-01-13,11,sunny,3,82,7,1,0.0,2.9,5,0.0,3,2,7,6,0,1,0,0,0,10582,4,1,19691
2012-01-14,8,sunny,4,81,5,-1,0.0,2.9,5,0.0,4,91,5,4,0,0,0,1,0,10582,5,1,13843
2012-01-15,20,sunny,1,72,5,0,0.0,2.9,5,0.0,1,119,16,11,0,0,0,1,0,10582,6,1,12149
2012-01-16,6,sunny,2,61,6,0,0.0,2.9,5,0.0,2,123,11,9,0,1,0,0,0,10582,0,1,19136
2012-01-17,41,cloudy,2,66,5,-1,0.0,2.9,5,0.0,2,178,12,8,0,1,0,0,0,10800,1,1,20170
2012-01-18,86,cloudy,6,97,11,5,0.1,1.1,9,0.0,6,216,26,15,0,1,0,0,0,10800,2,1,17972
2012-01-19,34,light_rain,7,82,11,7,1.7,2.9,10,0.0,7,286,23,17,0,1,0,0,0,10992,3,1,15441
2012-01-20,98,light_rain,3,91,8,3,0.4,1.1,7,0.0,3,290,26,15,0,1,0,0,0,11059,4,1,18703
2012-01-21,87,cloudy,7,79,11,7,0.0,1.1,11,0.0,7,286,36,26,0,0,0,1,0,11059,5,1,13339
2012-01-22,47,cloudy,5,76,9,4,0.0,2.9,9,0.0,5,278,33,23,0,0,0,1,0,11213,6,1,12845
2012-01-23,27,cloudy,3,76,8,1,0.0,2.9,6,0.0,3,279,19,13,0,1,0,0,0,11313,0,1,20193
2012-01-24,100,mod_heavy_rain,-2,100,7,1,7.5,1.1,3,0.0,-2,179,23,13,0,1,0,0,0,11558,1,1,13269
2012-01-25,63,cloudy,8,84,11,6,0.0,1.1,10,0.0,8,223,16,10,0,1,0,0,0,11594,2,1,20836
2012-01-26,5,sunny,4,75,8,4,0.3,2.9,8,0.0,4,221,25,17,0,1,0,0,0,11594,3,1,19515
2012-01-27,14,sunny,2,73,7,2,0.0,2.9,6,0.0,2,263,20,13,0,1,0,0,0,11594,4,1,20775
2012-01-28,17,sunny,3,74,6,2,0.1,2.9,6,0.0,3,147,14,10,0,0,0,1,0,11594,5,1,13272
2012-01-29,17,sunny,3,78,6,-1,0.0,2.9,5,0.0,3,45,6,5,0,0,0,1,0,11594,6,1,10949
2012-01-30,32,cloudy,2,71,4,-1,0.0,2.9,4,0.0,2,58,5,4,0,1,0,0,0,11800,0,1,18955
2012-01-31,71,light_snow,-1,71,3,-1,0.2,1.1,3,0.2,-1,74,13,10,0,1,0,0,0,11800,1,1,18176
2012-02-01,0,sunny,-4,57,2,-2,0.0,2.9,2,0.0,-4,62,23,18,0,1,0,0,0,11830,2,2,18208
2012-02-02,18,sunny,-5,47,1,-3,0.0,2.9,1,0.0,-5,60,19,16,0,1,0,0,0,11865,3,2,16916
2012-02-03,63,cloudy,-1,53,1,-4,0.0,1.1,1,0.0,-1,348,3,3,0,1,0,0,0,11865,4,2,16185
2012-02-04,34,cloudy,-2,63,2,-5,0.0,2.9,2,0.0,-2,179,11,9,0,0,0,1,0,11865,5,2,8348
2012-02-05,85,cloudy,1,100,1,-2,0.1,1.2,1,0.0,1,353,1,0,0,0,0,1,0,11865,6,2,3531
2012-02-06,100,fog,3,99,4,0,0.0,1.2,3,0.0,3,163,1,1,0,1,0,0,0,11903,0,2,15202
2012-02-07,91,fog,-1,95,2,-2,0.1,1.2,2,0.0,-1,102,6,5,0,1,0,0,0,11903,1,2,17722
2012-02-08,74,cloudy,-5,83,1,-4,0.0,1.2,0,0.0,-5,46,19,13,0,1,0,0,0,11903,2,2,16442
2012-02-09,43,cloudy,0,88,2,-4,0.0,2.9,1,0.0,0,6,3,3,0,1,0,0,0,11960,3,2,16363
2012-02-10,6,sunny,-3,83,3,-2,0.0,2.9,1,0.6,-3,130,10,8,0,1,0,0,0,12023,4,2,15117
2012-02-11,14,sunny,-1,77,2,-6,0.0,2.9,0,0.0,-1,72,4,3,0,0,1,1,0,12023,5,2,9912
2012-02-12,100,light_rain,-3,94,2,-6,0.3,1.2,1,0.0,-3,333,12,9,0,0,1,1,0,12023,6,2,8020
2012-02-13,61,light_rain,-1,96,4,-1,0.2,1.2,3,0.0,-1,313,14,11,0,1,1,0,0,12023,0,2,13192
2012-02-14,62,cloudy,0,87,5,0,0.1,1.2,4,0.0,0,338,21,14,0,1,1,0,0,12023,1,2,17946
2012-02-15,28,cloudy,4,80,9,3,0.0,2.9,8,0.0,4,329,24,17,0,1,1,0,0,12023,2,2,19396
2012-02-16,15,sunny,5,76,9,3,0.0,2.9,8,0.0,5,302,12,10,0,1,1,0,0,12023,3,2,19505
2012-02-17,63,cloudy,8,85,11,6,0.0,1.3,10,0.0,8,270,9,8,0,1,1,0,0,12023,4,2,19444
2012-02-18,91,light_rain,6,75,10,5,0.2,1.3,10,0.0,6,237,31,22,0,0,1,1,0,12023,5,2,9463
2012-02-19,2,sunny,1,59,6,-1,0.0,2.9,5,0.0,1,325,19,15,0,0,1,1,0,12023,6,2,12655
2012-02-20,14,sunny,4,57,8,-1,0.0,2.9,8,0.0,4,233,17,14,0,1,0,0,0,12023,0,2,18802
2012-02-21,78,cloudy,7,76,10,2,0.0,1.3,10,0.0,7,241,19,15,0,1,0,0,0,12023,1,2,20861
2012-02-22,84,cloudy,5,75,9,4,0.0,1.3,9,0.0,5,221,29,21,0,1,0,0,0,12023,2,2,18112
2012-02-23,69,cloudy,16,79,16,9,0.0,1.3,16,0.0,16,270,15,12,0,1,0,0,0,12023,3,2,23391
2012-02-24,84,cloudy,12,80,14,8,0.1,1.3,13,0.0,12,276,19,14,0,1,0,0,0,12023,4,2,22067
2012-02-25,51,cloudy,10,65,12,4,0.0,2.9,11,0.0,10,196,6,5,0,0,0,1,0,12023,5,2,19349
2012-02-26,5,sunny,11,70,13,2,0.0,2.9,11,0.0,11,287,5,4,0,0,0,1,0,12023,6,2,17646
2012-02-27,86,cloudy,10,81,12,5,0.1,1.4,12,0.0,10,251,14,11,0,1,0,0,0,12041,0,2,20936
2012-02-28,42,cloudy,14,79,17,7,0.0,2.9,15,0.0,14,264,6,5,0,1,0,0,0,12073,1,2,23423
2012-02-29,72,cloudy,11,79,12,8,0.1,1.4,12,0.0,11,229,9,8,0,1,0,0,0,12116,2,2,47384
2012-03-01,11,sunny,14,69,16,5,0.0,2.9,14,0.0,14,314,5,4,0,1,0,0,0,12145,3,3,25116
2012-03-02,46,cloudy,11,76,12,5,0.0,2.9,12,0.0,11,87,10,9,0,1,0,0,0,12145,4,3,21928
2012-03-03,73,light_rain,9,78,12,8,0.2,1.4,11,0.0,9,227,19,14,0,0,0,1,0,12208,5,3,17697
2012-03-04,100,mod_heavy_rain,3,100,7,1,3.8,1.4,6,0.2,3,206,16,10,0,0,0,1,0,12208,6,3,5062
2012-03-05,56,cloudy,0,82,6,1,0.0,2.9,5,0.0,0,321,30,21,0,1,0,0,0,12277,0,3,19342
2012-03-06,72,cloudy,5,73,9,0,0.0,1.4,7,0.0,5,351,9,7,0,1,0,0,0,12277,1,3,21102
