,date,total_journeys
0,2015-10-13,31545
1,2017-02-15,24346
2,2015-04-28,31783
3,2012-10-08,23009
4,2016-09-17,27563
5,2015-11-26,26626
6,2012-03-24,35091
7,2015-05-23,23849
8,2012-09-25,33392
9,2014-01-26,6965
10,2012-08-26,31537
11,2016-08-02,28949
12,2017-03-20,24171
13,2012-02-15,19396
14,2013-08-29,31639
15,2013-09-18,24747
16,2013-06-13,26388
17,2016-01-06,23038
18,2017-01-25,25232
19,2014-08-12,33898
20,2014-03-04,22811
21,2013-07-22,33176
22,2012-11-04,11693
23,2012-10-27,17144
24,2012-05-04,22878
25,2012-12-12,22344
26,2013-04-08,21797
27,2015-09-30,34941
28,2017-02-24,26837
29,2014-11-21,23743
30,2017-08-02,26880
31,2014-01-07,17267
32,2016-02-02,24514
33,2012-04-15,8760
34,2016-09-02,34669
35,2017-06-17,41733
36,2017-07-02,42996
37,2014-06-09,34007
38,2013-05-07,30707
39,2014-12-26,7545
40,2015-12-21,18136
41,2017-09-13,31873
42,2016-01-19,23819
43,2013-06-30,31237
44,2012-11-17,20325
45,2014-09-08,36686
46,2015-01-04,9234
47,2016-04-11,24262
48,2013-03-04,23036
49,2014-08-31,32795
50,2017-05-19,28734
51,2016-03-26,11109
52,2012-05-17,28309
53,2016-10-06,35359
54,2015-03-09,24037
55,2015-09-28,33138
56,2017-06-02,34463
57,2014-07-07,35756
58,2013-04-29,27644
59,2015-06-07,35407
60,2014-12-13,17995
61,2016-02-21,14670
62,2017-08-23,34134
63,2013-01-17,22207
64,2016-12-07,29760
65,2015-07-08,41703
66,2017-07-17,41812
67,2014-06-28,19890
68,2016-06-20,22382
69,2016-05-29,31252
70,2015-08-06,63468
71,2012-07-04,29540
72,2015-01-27,25000
73,2014-05-22,30539
74,2017-04-25,32384
75,2016-04-22,20532
76,2016-11-14,24842
77,2012-06-19,34359
78,2013-12-17,15493
79,2014-04-01,29476
80,2015-02-03,19869
81,2017-05-14,30185
82,2013-03-19,22479
83,2016-10-25,33314
84,2014-10-14,28081
85,2013-09-13,15392
86,2012-01-27,20775
87,2016-07-16,38933
88,2015-08-13,25974
89,2014-07-16,41845
90,2015-03-28,18986
91,2013-01-12,13559
92,2016-06-07,35137
93,2013-10-04,25926
94,2017-10-20,30535
95,2014-03-25,19234
96,2014-02-26,23700
97,2015-04-18,29595
98,2016-12-18,15189
99,2012-03-18,19184
100,2014-05-11,17420
101,2015-10-07,28629
102,2016-05-14,30450
103,2017-02-05,14590
104,2017-03-14,30857
105,2012-02-05,3531
106,2013-08-07,33084
107,2015-05-01,29579
108,2012-09-15,36086
109,2015-11-16,26507
110,2016-08-20,24734
111,2015-02-16,16381
112,2012-08-20,37610
113,2016-07-13,36163
114,2012-01-12,20879
115,2013-09-24,28012
116,2017-10-01,22322
117,2012-11-14,31453
118,2014-03-10,24109
119,2013-07-08,34263
120,2012-12-22,5644
121,2017-01-15,6772
122,2015-10-20,32718
123,2012-03-15,29969
124,2017-02-22,27333
125,2014-11-11,28666
126,2012-10-01,23627
127,2014-02-09,11519
128,2015-04-07,29441
129,2016-09-08,41034
130,2012-04-01,28311
131,2012-09-16,29394
132,2013-05-13,24836
133,2014-01-17,17255
134,2017-03-29,30024
135,2016-02-08,19852
136,2013-08-20,33578
137,2016-01-09,11583
138,2013-06-20,29959
139,2017-09-03,21382
140,2017-07-12,38551
141,2014-09-02,36538
142,2015-12-27,9378
143,2014-08-21,32845
144,2017-01-18,27206
145,2013-07-31,28976
146,2012-11-27,20388
147,2015-09-05,22317
148,2012-05-15,16333
149,2012-12-05,23111
150,2013-03-14,21984
151,2015-06-23,37472
152,2013-04-07,18090
153,2016-03-12,21573
154,2014-11-28,26401
155,2013-05-16,26070
156,2016-02-27,14745
157,2015-07-24,16034
158,2012-04-20,20460
159,2017-06-24,30278
160,2014-07-13,32790
161,2017-07-27,32640
162,2014-06-06,37044
163,2014-12-19,21767
164,2012-07-14,16135
165,2016-01-26,20224
166,2017-09-22,35408
167,2015-09-13,26166
168,2013-02-22,18313
169,2012-06-25,33345
170,2013-12-11,18887
171,2015-01-13,24697
172,2015-09-25,34783
173,2013-03-29,10909
174,2017-04-19,32582
175,2014-04-23,26830
176,2015-08-16,30616
177,2012-05-24,38783
178,2016-10-15,23780
179,2014-10-24,28737
180,2017-05-04,31362
181,2017-06-13,41337
182,2015-08-30,24972
183,2014-07-30,42566
184,2015-03-02,22258
185,2013-04-20,26724
186,2012-01-17,20170
187,2014-12-06,17220
188,2013-10-10,22978
189,2017-08-30,22002
190,2013-01-26,14595
191,2012-07-19,33714
192,2016-12-12,25528
193,2014-06-21,41756
194,2016-06-29,31556
195,2016-05-04,36567
196,2016-01-27,21708
197,2013-02-11,13468
198,2013-11-09,6644
199,2014-02-20,19209
200,2015-05-11,33719
201,2014-05-29,28911
202,2016-11-21,19423
203,2013-12-24,6116
204,2012-02-19,12655
205,2015-02-26,20036
206,2012-08-14,38083
207,2014-04-10,28982
208,2015-11-06,25431
209,2014-10-07,31147
210,2013-09-06,20930
211,2016-08-30,39993
212,2015-03-21,16116
213,2016-07-07,39673
214,2016-06-08,34621
215,2013-10-31,19614
216,2014-03-16,33881
217,2013-07-02,30163
218,2017-10-15,32014
219,2014-02-03,20224
220,2015-04-29,26030
221,2012-10-15,30582
222,2016-12-27,11003
223,2012-12-24,7985
224,2012-03-25,28607
225,2015-05-22,33435
226,2015-10-14,30579
227,2017-02-12,10278
228,2014-11-01,31390
229,2017-03-23,27689
230,2013-08-30,31127
231,2012-02-14,17946
232,2012-09-06,39540
233,2015-11-25,26000
234,2016-09-22,38448
235,2016-08-13,43801
236,2014-01-27,18130
237,2012-08-29,30649
238,2013-06-02,27208
239,2015-12-01,26559
240,2013-09-17,18009
241,2015-09-21,23676
242,2016-01-07,18083
243,2014-03-05,24848
244,2013-07-17,35232
245,2012-11-05,27666
246,2012-12-15,16962
247,2014-08-03,41044
248,2017-01-24,26611
249,2017-02-25,14139
250,2014-11-18,25785
251,2015-04-14,34519
252,2012-10-26,26404
253,2012-05-05,14275
254,2012-04-14,23941
255,2016-09-03,23812
256,2013-04-09,17555
257,2014-01-08,19553
258,2013-05-06,29015
259,2014-12-25,38139
260,2016-02-01,23606
261,2015-09-29,34436
262,2016-01-16,16091
263,2017-09-12,31598
264,2015-06-13,30298
265,2017-07-05,46157
266,2014-06-08,43852
267,2015-01-07,22332
268,2014-09-09,37345
269,2015-12-18,25730
270,2012-06-15,28162
271,2015-06-12,35172
272,2014-08-30,30340
273,2012-11-18,21664
274,2016-10-05,36342
275,2012-05-22,34386
276,2016-04-10,23781
277,2013-03-07,17322
278,2013-04-30,29219
279,2017-05-18,23394
280,2016-03-27,10028
281,2016-02-20,11136
282,2017-08-16,36719
283,2012-04-29,8778
284,2014-07-04,37847
285,2015-03-08,20017
286,2017-06-03,38643
287,2016-01-11,21092
288,2014-12-12,20225
289,2013-11-03,12660
290,2012-07-05,37215
291,2015-01-26,22710
292,2013-01-16,22457
293,2016-12-06,28347
294,2015-08-03,35402
295,2016-11-15,28812
296,2013-12-18,17089
297,2012-06-18,28364
298,2013-02-01,18080
299,2016-05-26,37539
300,2013-03-18,15852
301,2016-04-25,24389
302,2016-10-24,30375
303,2017-04-26,28389
