,id,install_date,installed,lat,locality,locked,lon,num_bikes,num_docks,num_empty,removal_date,temporary
0,1023,2010-07-12 16:08:00,True,51.529163,"River Street , Clerkenwell",False,-0.10997,6,19,13,,False
1,1018,2010-07-08 11:43:00,True,51.499606,"Phillimore Gardens, Kensington",False,-0.197574,7,37,30,,False
2,1012,2010-07-04 11:46:00,True,51.521283,"Christopher Street, Liverpool Street",False,-0.084605,9,32,22,,False
3,1013,2010-07-04 11:58:00,True,51.530059,"St. Chad's Street, King's Cross",False,-0.120973,10,23,13,,False
4,3420,2010-07-04 12:04:00,True,51.49313,"Sedding Street, Sloane Square",False,-0.156876,21,27,6,,False
5,3424,2010-07-04 12:08:00,True,51.518117,"Broadcasting House, Marylebone",False,-0.144228,8,18,10,,False
6,3422,2010-07-04 12:10:00,True,51.5343,"Charlbert Street, St. John's Wood",False,-0.168074,13,16,3,,False
7,3423,2010-07-04 12:12:00,True,51.528341,"Lodge Road, St. John's Wood",False,-0.170134,12,18,6,,False
8,1015,2010-07-04 12:19:00,True,51.507385,"New Globe Walk, Bankside",False,-0.09644,2,19,17,,False
9,1024,2010-07-04 12:21:00,True,51.505974,"Park Street, Bankside",False,-0.092754,13,18,5,,False
10,1022,2010-07-05 15:34:00,True,51.523951,"Brunswick Square, Bloomsbury",False,-0.122502,12,24,11,,False
11,980,2010-07-05 15:37:00,True,51.52168,"Malet Street, Bloomsbury",False,-0.130431,5,49,43,,False
12,970,2010-07-05 15:40:00,True,51.519914,"Scala Street, Fitzrovia",False,-0.136039,17,21,4,,False
13,1011,2010-07-05 15:44:00,True,51.529943,"Belgrove Street , King's Cross",False,-0.123616,28,48,17,,False
14,988,2010-07-05 15:47:00,True,51.517727,"Great Russell Street, Bloomsbury",False,-0.127854,0,26,26,,False
15,1010,2010-07-05 15:50:00,True,51.526357,"Cartwright Gardens , Bloomsbury",False,-0.125979,7,22,15,,False
16,1008,2010-07-06 14:42:00,True,51.521661,"Hatton Wall, Holborn",False,-0.109006,12,26,13,,False
17,1007,2010-07-06 15:25:00,True,51.51477,"Drury Lane, Covent Garden",False,-0.122219,1,27,26,,False
18,1009,2010-07-06 15:32:00,True,51.52505,"Taviton Street, Bloomsbury",False,-0.131161,26,30,3,,False
19,993,2010-07-06 15:47:00,True,51.527736,"Drummond Street , Euston",False,-0.135273,13,28,15,,False
