,cloud_cover,date,description,feels_like,humidity,max_temp,min_temp,precipitation,sun_hours,temperature,total_snow,uv_index,wind_chill,wind_dir_16pt,wind_dir_deg,wind_gust,wind_speed
0,18,2010-01-01,Sunny,-4,80,0,0,0.0,2.9,1,0.2,0,-4,NNW,344,16,11
1,43,2010-01-02,Partly cloudy,-2,79,3,0,0.0,2.9,3,0.0,0,-2,W,278,15,11
2,4,2010-01-03,Sunny,-2,76,5,-3,0.0,2.9,2,0.6,0,-2,ENE,60,11,8
3,7,2010-01-04,Sunny,-4,74,2,-3,0.0,2.9,0,0.0,0,-4,NW,314,9,7
4,30,2010-01-05,Sunny,-4,81,1,-4,0.0,2.9,0,0.0,0,-4,SW,232,13,9
5,98,2010-01-06,Moderate snow,-4,95,1,-2,1.6,1.0,0,9.9,0,-4,ENE,62,13,9
6,54,2010-01-07,Partly cloudy,-10,93,-1,-6,0.0,2.9,-3,0.0,0,-10,NW,314,20,12
7,63,2010-01-08,Cloudy,-6,93,0,-4,0.0,1.0,-1,0.0,0,-6,SE,130,18,12
8,88,2010-01-09,Overcast,-8,88,-1,-4,0.2,1.0,-1,0.4,0,-8,NNE,23,28,17
9,100,2010-01-10,Moderate snow,-5,97,1,0,0.6,1.0,1,2.0,0,-5,NNE,28,22,13
10,81,2010-01-11,Light snow,-2,96,1,-1,0.2,1.0,1,1.2,0,-2,E,87,6,4
11,93,2010-01-12,Light snow,-5,96,1,-1,0.2,1.0,1,0.4,0,-5,SE,125,20,13
12,100,2010-01-13,Moderate snow,-3,97,1,-3,1.5,1.0,0,2.1,0,-3,E,101,8,6
13,100,2010-01-14,Moderate rain,-2,100,2,-3,2.5,1.0,1,0.0,0,-2,NE,40,10,5
14,74,2010-01-15,Light drizzle,-3,99,4,-3,0.3,1.0,2,0.0,0,-3,S,178,21,11
15,100,2010-01-16,Moderate rain,-1,95,6,2,3.7,1.1,4,0.0,0,-1,SSE,168,33,20
16,44,2010-01-17,Partly cloudy,3,90,8,3,0.0,2.9,7,0.0,0,3,W,268,16,12
17,62,2010-01-18,Partly cloudy,2,92,7,2,0.0,1.1,5,0.0,0,2,W,260,15,9
18,83,2010-01-19,Cloudy,5,93,8,4,0.1,1.1,7,0.0,0,5,SE,126,10,6
19,100,2010-01-20,Moderate or heavy sleet,1,96,5,2,3.7,1.1,4,0.0,0,1,ESE,103,11,9
